44,Vodňany,3117,3
45,Blovice,3201,4
46,Domažlice,3202,4
47,Horažďovice,3203,4
48,Horšovský Týn,3204,4
49,Klatovy,3205,4
50,Kralovice,3206,4
51,Nepomuk,3207,4
52,Nýřany,3208,4
53,Plzeň,3209,4
54,Přeštice,3210,4
55,Rokycany,3211,4
56,Stod,3212,4
57,Stříbro,3213,4
58,Sušice,3214,4
59,Tachov,3215,4
60,Aš,4101,5
61,Cheb,4102,5
62,Karlovy Vary,4103,5
63,Kraslice,4104,5
64,Mariánské Lázně,4105,5
65,Ostrov,4106,5
66,Sokolov,4107,5
67,Bílina,4201,6
68,Děčín,4202,6
69,Chomutov,4203,6
70,Kadaň,4204,6
71,Litoměřice,4205,6
72,Litvínov,4206,6
73,Louny,4207,6
74,Lovosice,4208,6
75,Most,4209,6
76,Podbořany,4210,6
77,Roudnice nad Labem,4211,6
78,Rumburk,4212,6
79,Teplice,4213,6
80,Ústí nad Labem,4214,6
81,Varnsdorf,4215,6
82,Žatec,4216,6
83,Česká Lípa,5101,7
84,Frýdlant,5102,7
85,Jablonec nad Nisou,5103,7
86,Jilemnice,5104,7
87,Liberec,5105,7
88,Nový Bor,5106,7
89,Semily,5107,7
90,Tanvald,5108,7
91,Turnov,5109,7
92,Železný Brod,5110,7
93,Broumov,5201,8
94,Dobruška,5202,8
95,Dvůr Králové nad Labem,5203,8
96,Hořice,5204,8
97,Hradec Králové,5205,8
98,Jaroměř,5206,8
99,Jičín,5207,8
100,Kostelec nad Orlicí,5208,8
101,Náchod,5209,8
102,Nová Paka,5210,8
103,Nové Město nad Metují,5211,8
104,Nový Bydžov,5212,8
105,Rychnov nad Kněžnou,5213,8
106,Trutnov,5214,8
107,Vrchlabí,5215,8
108,Česká Třebová,5301,9
109,Hlinsko,5302,9
110,Holice,5303,9
111,Chrudim,5304,9
112,Králíky,5305,9
113,Lanškroun,5306,9
114,Litomyšl,5307,9
115,Moravská Třebová,5308,9
116,Pardubice,5309,9
117,Polička,5310,9
118,Přelouč,5311,9
119,Svitavy,5312,9
120,Ústí nad Orlicí,5313,9
121,Vysoké Mýto,5314,9
122,Žamberk,5315,9
123,Bystřice nad Pernštejnem,6101,10
124,Havlíčkův Brod,6102,10
125,Humpolec,6103,10
126,Chotěboř,6104,10
127,Jihlava,6105,10
128,Moravské Budějovice,6106,10
129,Náměšť nad Oslavou,6107,10
130,Nové Město na Moravě,6108,10
131,Pacov,6109,10
132,Pelhřimov,6110,10
133,Světlá nad Sázavou,6111,10
134,Telč,6112,10
135,Třebíč,6113,10
136,Velké Meziříčí,6114,10
137,Žďár nad Sázavou,6115,10
138,Blansko,6201,11
139,Boskovice,6202,11
140,Brno,6203,11
141,Břeclav,6204,11
142,Bučovice,6205,11
143,Hodonín,6206,11
144,Hustopeče,6207,11
145,Ivančice,6208,11
146,Kuřim,6209,11
147,Kyjov,6210,11
148,Mikulov,6211,11
149,Moravský Krumlov,6212,11
150,Pohořelice,6213,11
151,Rosice,6214,11
152,Slavkov u Brna,6215,11
153,Šlapanice,6216,11
154,Tišnov,6217,11
155,Veselí nad Moravou,6218,11
156,Vyškov,6219,11
157,Znojmo,6220,11
158,Židlochovice,6221,11
159,Hranice,7101,12
160,Jeseník,7102,12
161,Konice,7103,12
162,Lipník nad Bečvou,7104,12
163,Litovel,7105,12
164,Mohelnice,7106,12
165,Olomouc,7107,12
166,Prostějov,7108,12
167,Přerov,7109,12
168,Šternberk,7110,12
169,Šumperk,7111,12
170,Uničov,7112,12
171,Zábřeh,7113,12
172,Bystřice pod Hostýnem,7201,13
173,Holešov,7202,13
174,Kroměříž,7203,13
175,Luhačovice,7204,13
176,Otrokovice,7205,13
177,Rožnov pod Radhoštěm,7206,13
178,Uherské Hradiště,7207,13
179,Uherský Brod,7208,13
180,Valašské Klobouky,7209,13
181,Valašské Meziříčí,7210,13
182,Vizovice,7211,13
183,Vsetín,7212,13
184,Zlín,7213,13
185,Bílovec,8101,14
186,Bohumín,8102,14
187,Bruntál,8103,14
188,Český Těšín,8104,14
189,Frenštát pod Radhoštěm,8105,14
190,Frýdek-Místek,8106,14
191,Frýdlant nad Ostravicí,8107,14
192,Havířov,8108,14
193,Hlučín,8109,14
194,Jablunkov,8110,14
195,Karviná,8111,14
196,Kopřivnice,8112,14
197,Kravaře,8113,14
198,Krnov,8114,14
199,Nový Jičín,8115,14
200,Odry,8116,14
201,Opava,8117,14
202,Orlová,8118,14
203,Ostrava,8119,14
204,Rýmařov,8120,14
205,Třinec,8121,14
206,Vítkov,8122,14
1,Praha,1000,1
2,Benešov,2101,2
3,Beroun,2102,2
4,Brandýs nad Labem-Stará Boleslav,2103,2
5,Čáslav,2104,2
6,Černošice,2105,2
7,Český Brod,2106,2
8,Dobříš,2107,2
9,Hořovice,2108,2
10,Kladno,2109,2
11,Kolín,2110,2
12,Kralupy nad Vltavou,2111,2
13,Kutná Hora,2112,2
14,Lysá nad Labem,2113,2
15,Mělník,2114,2
16,Mladá Boleslav,2115,2
17,Mnichovo Hradiště,2116,2
18,Neratovice,2117,2
19,Nymburk,2118,2
20,Poděbrady,2119,2
21,Příbram,2120,2
22,Rakovník,2121,2
23,Říčany,2122,2
24,Sedlčany,2123,2
25,Slaný,2124,2
26,Vlašim,2125,2
27,Votice,2126,2
28,Blatná,3101,3
29,České Budějovice,3102,3
30,Český Krumlov,3103,3
31,Dačice,3104,3
32,Jindřichův Hradec,3105,3
33,Kaplice,3106,3
34,Milevsko,3107,3
35,Písek,3108,3
36,Prachatice,3109,3
37,Soběslav,3110,3
38,Strakonice,3111,3
39,Tábor,3112,3
40,Trhové Sviny,3113,3
41,Třeboň,3114,3
42,Týn nad Vltavou,3115,3
43,Vimperk,3116,3
